"Name","Edition","Platform","Format","Region","Now Playing","Backlogged","Ownership Status","Progress Status","Est. Value","Amt. Paid","Tags","Box/Case","Cart/Disc","Manual","Extras","Acquisition Type","Acquisition Source","Acquisition Date","Rating","Initial Release Date","Item Release Date","Added On","Genre"
"Operation Babel: New Tokyo Legacy","","PC / Windows","Digital","NA","No","Yes","Owned","Incomplete","","$2.00","","","","","","Purchase","","","","4/30/2015","","12/30/2024","RPG"
"Ori and the Blind Forest: Definitive Edition","","Nintendo Switch","Digital (Nintendo eShop)","NA","No","Yes","Owned","Incomplete","","$9.00","","","","","","Purchase","","","","3/11/2016","9/27/2019","1/13/2022","Platform-adventure"
"Ori and the Will of the Wisps","","Nintendo Switch","Digital (Nintendo eShop)","NA","No","Yes","Owned","Incomplete","","$7.49","","","","","","Purchase","","1/5/2023","","3/11/2020","9/17/2020","1/7/2023","Platform-adventure"
"Outer Wilds","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","$16.00","","","","","","Purchase","","","","5/29/2019","","1/13/2022","Action-adventure"
"The Outer Worlds","","PlayStation 4","Physical (New)","NA","No","Yes","Owned","Incomplete","$14.28","$0.00","","X","X","X","X","Purchase","","","","10/25/2019","10/25/2019","2/13/2022","Action RPG"
"Outland","","PlayStation 3","Digital (PSN)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","","","4/29/2017",""
"Outlast","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","$4.00","","","","","","Purchase","","","","2/4/2014","2/4/2014","6/7/2022","Survival Horror"
"Outward","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","$8.00","","","","","","Purchase","","7/6/2024","","3/26/2019","3/26/2019","7/30/2024","RPG"
"Overcooked!: Special Edition","","Nintendo Switch","Digital (Nintendo eShop)","NA","No","Yes","Owned","Incomplete","","$4.00","","","","","","Purchase","","","","7/27/2017","7/27/2017","6/5/2023","Compilation"
"Overwatch","","PC / Windows","Physical (Unassigned)","NA","Yes","No","Owned","Incomplete","","","","","","","","Purchase","","","","5/23/2016","","12/4/2017","First-person Shooter"
"Oxenfree","","PlayStation 4","Digital (PSN)","NA","No","No","Owned","Finished","","$6.00","","","","","","Purchase","","","","1/15/2016","5/31/2016","11/5/2020","Graphic Adventure"
"Paper Mario","","Wii","Digital (WiiWare)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","8/11/2000","7/16/2007","4/29/2017","JRPG"
"Paper Mario: Sticker Star","","Nintendo 3DS","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","$10.99","","","","","","","Purchase","","","","11/11/2012","11/11/2012","4/29/2017","RPG"
"Paper Mario: The Origami King","","Nintendo Switch","Digital (Nintendo eShop)","NA","No","No","Owned","Finished","","$60.00","","","","","","Purchase","","","","7/17/2020","7/17/2020","7/25/2020","JRPG"
"Paper Mario: The Thousand Year Door (2024)","","Nintendo Switch","Physical (Unassigned)","NA","No","No","Owned","Finished","$33.50","$60.00","","","","","","Purchase","","","","5/23/2024","5/23/2024","5/24/2024","JRPG"
"Paper Mario: The Thousand-Year Door (2004)","","GameCube","Physical (Unassigned)","NA","No","No","Owned","Completionated","$33.50","","","","","","","Purchase","","","","7/22/2004","10/11/2004","4/29/2017","JRPG"
"Paradise Killer","","Nintendo Switch","Digital (Nintendo eShop)","NA","No","Yes","Owned","Incomplete","","$14.00","","","","","","Purchase","","","","9/4/2020","9/4/2020","6/18/2021","Graphic Adventure"
"PARANORMASIGHT: The Seven Mysteries of Honjo","","Nintendo Switch","Digital","NA","No","No","Owned","Finished","","$16.00","","","","","","Purchase","","","","","","3/14/2023","Visual Novel"
"Persona 2: Eternal Punishment","","PlayStation Vita","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","6/29/2000","","4/29/2017","JRPG"
"Persona 3 Reload","","PlayStation 5","Digital","NA","No","No","Owned","Finished","","$70.00","","","","","","Purchase","","2/2/2024","","2/2/2024","2/2/2024","2/21/2024","JRPG"
"Persona 3 Reload: Episode Aigis","","PlayStation 5","Digital","NA","No","No","Owned","Finished","","$30.00","","","","","","Purchase","","9/10/2024","","","","1/27/2025",""
"Persona 3: Dancing in Moonlight","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Completionated","","","","","","","","Purchase","","","","5/24/2018","12/4/2018","12/5/2018","Rhythm"
"Persona 4 Arena","","PlayStation 3","Physical (Unassigned)","NA","No","No","Owned","Finished","$10.93","","","","","","","Purchase","","","","3/1/2012","8/7/2012","4/29/2017","Fighting"
"Persona 4 Arena Ultimax","","PlayStation 3","Physical (Unassigned)","NA","No","No","Owned","Finished","$14.85","","","","","","","Purchase","","","","11/28/2013","9/30/2014","4/29/2017","Fighting"
"Persona 4 Golden","","PlayStation Vita","Physical (Unassigned)","NA","No","No","Owned","Completionated","$23.93","","","","","","","Purchase","","","","6/14/2012","11/20/2012","4/29/2017","JRPG"
"Persona 4 Golden","","Nintendo Switch","Digital","NA","No","No","Owned","Incomplete","","$15.00","","","","","","Purchase","","","","6/14/2012","","4/5/2023","JRPG"
"Persona 4: Dancing All Night","","PlayStation Vita","Physical (Unassigned)","NA","No","No","Owned","Completionated","$29.95","","","","","","","Purchase","","","","6/25/2015","9/29/2015","4/29/2017","Rhythm"
"Persona 5","","PlayStation 4","Physical (Unassigned)","NA","Yes","No","Owned","Finished","$7.15","","","","","","","Purchase","","","10","9/15/2016","4/4/2017","4/22/2017","JRPG"
