"Name","Edition","Platform","Format","Region","Now Playing","Backlogged","Ownership Status","Progress Status","Est. Value","Amt. Paid","Tags","Box/Case","Cart/Disc","Manual","Extras","Acquisition Type","Acquisition Source","Acquisition Date","Rating","Initial Release Date","Item Release Date","Added On","Genre"
"MapleStory","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","2025-01-30",""
"MapleStory 2","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/4/2018","10/4/2018","2025-01-30","Action RPG"
"Mario & Luigi: Dream Team","","Nintendo 3DS","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","7/12/2013","8/11/2013","2017-04-28","RPG"
"Mario Kart 7","","Nintendo 3DS","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","9","12/1/2011","12/4/2011","2017-04-28","Racing"
"Mario Kart 8","","Wii U","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","5/29/2014","5/30/2014","2017-05-02","Racing"
"Mario Kart 8 Deluxe","","Nintendo Switch","Physical (Unassigned)","NA","Yes","Yes","Owned","Finished","","","","","","","","Purchase","","","10","4/28/2017","4/28/2017","2017-05-02","Racing"
"Mario Kart DS","","Nintendo DS","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","11/14/2005","11/14/2005","2017-04-28","Racing"
"Mario Kart Wii","","Wii","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","4/10/2008","4/27/2008","2017-05-02","Racing"
"Mario Party 10","","Wii U","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","3/12/2015","3/20/2015","2017-05-19","Party"
"Mario Party 4","","GameCube","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/21/2002","10/21/2002","2017-04-28","Party"
"Mark of the Ninja","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","2017-04-26","Stealth"
